[INFO] training the network...
Epoch [0], train_loss: 2.9506, train_acc: 0.0897, val_loss: 2.6271, val_acc: 0.1474
Epoch [1], train_loss: 2.3153, train_acc: 0.2369, val_loss: 1.8341, val_acc: 0.4150
Epoch [2], train_loss: 1.1823, train_acc: 0.6232, val_loss: 0.7696, val_acc: 0.7567
Epoch [3], train_loss: 0.5466, train_acc: 0.8400, val_loss: 0.4439, val_acc: 0.8800
Epoch [4], train_loss: 0.2999, train_acc: 0.9072, val_loss: 0.3628, val_acc: 0.9004
Epoch [5], train_loss: 0.1934, train_acc: 0.9373, val_loss: 0.3065, val_acc: 0.9246
Epoch [6], train_loss: 0.1166, train_acc: 0.9626, val_loss: 0.3230, val_acc: 0.9329
Epoch [7], train_loss: 0.0848, train_acc: 0.9725, val_loss: 0.3819, val_acc: 0.9315
Epoch [8], train_loss: 0.0635, train_acc: 0.9802, val_loss: 0.3302, val_acc: 0.9456
Epoch [9], train_loss: 0.0521, train_acc: 0.9844, val_loss: 0.3319, val_acc: 0.9425
Epoch [10], train_loss: 0.0490, train_acc: 0.9860, val_loss: 0.3316, val_acc: 0.9439
Epoch [11], train_loss: 0.0314, train_acc: 0.9914, val_loss: 0.4534, val_acc: 0.9335
Epoch [12], train_loss: 0.0283, train_acc: 0.9923, val_loss: 0.3409, val_acc: 0.9472
Epoch [13], train_loss: 0.0157, train_acc: 0.9954, val_loss: 0.4044, val_acc: 0.9432
Epoch [14], train_loss: 0.0379, train_acc: 0.9883, val_loss: 0.3947, val_acc: 0.9485
Epoch [15], train_loss: 0.0296, train_acc: 0.9918, val_loss: 0.3497, val_acc: 0.9454
Epoch [16], train_loss: 0.0173, train_acc: 0.9954, val_loss: 0.3552, val_acc: 0.9529
Epoch [17], train_loss: 0.0184, train_acc: 0.9944, val_loss: 0.3321, val_acc: 0.9517
Epoch [18], train_loss: 0.0184, train_acc: 0.9945, val_loss: 0.4388, val_acc: 0.9412
Epoch [19], train_loss: 0.0400, train_acc: 0.9886, val_loss: 0.3729, val_acc: 0.9480
Epoch [20], train_loss: 0.0240, train_acc: 0.9924, val_loss: 0.3296, val_acc: 0.9536
Epoch [21], train_loss: 0.0184, train_acc: 0.9950, val_loss: 0.3904, val_acc: 0.9468
Epoch [22], train_loss: 0.0261, train_acc: 0.9940, val_loss: 0.3317, val_acc: 0.9466
Epoch [23], train_loss: 0.0087, train_acc: 0.9978, val_loss: 0.3315, val_acc: 0.9564
Epoch [24], train_loss: 0.0004, train_acc: 1.0000, val_loss: 0.3671, val_acc: 0.9538
Epoch [25], train_loss: 0.0001, train_acc: 1.0000, val_loss: 0.3859, val_acc: 0.9537
Epoch [26], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.3928, val_acc: 0.9532
Epoch [27], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.3992, val_acc: 0.9537
Epoch [28], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.4045, val_acc: 0.9537
Epoch [29], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.4091, val_acc: 0.9542
Epoch [30], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.4122, val_acc: 0.9537
Epoch [31], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.4143, val_acc: 0.9543
Epoch [32], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.4176, val_acc: 0.9548
Epoch [33], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.4206, val_acc: 0.9548
Epoch [34], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.4232, val_acc: 0.9548
Epoch [35], train_loss: 0.0000, train_acc: 1.0000, val_loss: 0.4255, val_acc: 0.9537
